top - 09:23:08 up  4:11,  3 users,  load average: 0.18, 0.06, 0.06
Tasks: 345 total,   2 running, 343 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.2 us,  0.5 sy,  0.0 ni, 99.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  1896308 total,  1582056 free,   117924 used,   196328 buff/cache
KiB Swap:  3932156 total,  3932156 free,        0 used.  1600192 avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
  3043 root      20   0  146300   2092   1360 R 16.7  0.1   0:00.07 top
     1 root      20   0   44544   7180   2616 S  0.0  0.4   0:07.24 systemd
     2 root      20   0       0      0      0 S  0.0  0.0   0:00.13 kthreadd
     3 root      20   0       0      0      0 S  0.0  0.0   0:00.12 ksoftirqd/0
     6 root      20   0       0      0      0 S  0.0  0.0   0:01.05 kworker/u256:0
     7 root      rt   0       0      0      0 S  0.0  0.0   0:00.00 migration/0
     8 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcu_bh
     9 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/0
    10 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/1
    11 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/2
    12 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/3
    13 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/4
    14 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/5
    15 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/6
    16 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/7
    17 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/8
    18 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/9
    19 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/10
    20 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/11
    21 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/12
    22 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/13
    23 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/14
    24 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/15
    25 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/16
    26 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/17
    27 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/18
    28 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/19
